Transaction_ID,Items
1,"diapers, chicken, bread, beef, beer, apples, bananas, tomatoes"
2,"chicken, cheese, pasta"
3,"eggs, tea, cheese, flour, onions, tomatoes"
4,"tea, bread, fish, butter, onions"
5,"sugar, bread, beef, cheese, coffee, beer, butter"
6,"diapers, pasta, tea"
7,"chicken, tea, cheese, beer, fish, rice"
8,"chicken, tea, bread, cheese, coffee, pasta, flour, tomatoes"
9,"eggs, tea, pasta, onions, tomatoes"
10,"coffee, milk, rice, eggs"
11,"eggs, milk, pasta, beer, fish, onions, tomatoes"
12,"diapers, sugar, milk, coffee, flour, butter, tomatoes"
13,"eggs, cheese, apples, fish, bananas, rice"
14,"diapers, coffee, milk, rice"
15,"chicken, eggs, pasta, beer, tomatoes"
16,"cheese, chicken, coffee, milk"
17,"diapers, milk, coffee, flour, beer, apples, onions, bananas"
18,"bread, coffee, flour, beer, onions, bananas, tomatoes"
19,"sugar, apples, coffee, tea"
20,"diapers, bread, pasta, beer, onions, tomatoes"
21,"diapers, chicken, eggs, tea, beer, butter, onions, tomatoes"
22,"diapers, chicken, milk, coffee, beer, butter"
23,"milk, tea, cheese, pasta, onions, tomatoes"
24,"sugar, milk, bread, coffee, cheese"
25,"bread, beef, flour, beer, apples, butter, bananas"
26,"diapers, beef, coffee, beer"
27,"tea, cheese, coffee, pasta, flour, onions, tomatoes"
28,"bananas, apples, milk, onions"
29,"diapers, chicken, eggs, tea, cheese, beer, bananas"
30,"sugar, coffee, butter, onions, rice"
31,"sugar, chicken, diapers, milk, eggs, fish, bananas"
32,"diapers, cheese, flour, beer, fish"
33,"bananas, apples, tomatoes, beer"
34,"chicken, milk, onions, rice, tomatoes"
35,"sugar, coffee, tomatoes"
36,"diapers, chicken, coffee, rice"
37,"eggs, coffee, fish, butter, tomatoes"
38,"tomatoes, milk, flour, butter"
39,"diapers, tea, bread, coffee, cheese, pasta, apples, butter"
40,"tea, cheese, pasta, flour, beer, rice"
