InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,customer_id,Country,Category
536366,CL31454,Jacket Clothing,39,2023-09-12 14:31:01,63.9,12396.0,France,Clothing
536366,EL85228,Speaker Electronics,4,2025-03-22 08:31:35,35.85,12417.0,Spain,Electronics
536366,BO71516,Manual Books,4,2024-03-21 06:30:37,67.56,12388.0,Germany,Books
536366,SP51195,Towel Sports,33,2024-08-10 02:12:58,95.23,12351.0,Spain,Sports
536367,SP50955,Weights Sports,48,2023-10-05 02:09:26,95.88,12397.0,USA,Sports
536367,EL95619,Laptop Electronics,2,2024-07-20 00:37:06,64.8,12372.0,Canada,Electronics
536368,HO95916,Mug Home,36,2025-05-21 16:33:50,9.97,12367.0,Germany,Home
536368,EL16651,Speaker Electronics,10,2024-04-22 18:49:13,86.57,12421.0,Canada,Electronics
536368,EL31666,Speaker Electronics,2,2023-11-23 06:22:11,9.52,12445.0,Italy,Electronics
536368,BO87848,Cookbook Books,27,2023-12-05 22:05:58,9.02,12438.0,France,Books
536369,HO27190,Lamp Home,9,2024-12-06 02:52:53,59.54,12367.0,Australia,Home
536369,EL27625,Smartphone Electronics,44,2025-08-01 11:17:34,28.84,12375.0,Canada,Electronics
536369,SP95786,Weights Sports,3,2024-05-31 03:09:20,28.62,12372.0,France,Sports
536369,SP47855,Towel Sports,4,2025-01-31 08:36:54,93.76,12358.0,France,Sports
536370,SP47445,Mat Sports,5,2024-07-15 20:09:05,81.76,12430.0,Netherlands,Sports
536370,BO39039,Dictionary Books,3,2025-07-24 23:02:02,49.19,12386.0,Netherlands,Books
536371,BO67634,Manual Books,45,2023-10-25 17:41:08,49.16,12412.0,Italy,Books
536371,BO74936,Dictionary Books,19,2024-03-19 10:36:34,87.88,12396.0,France,Books
536372,BO31723,Novel Books,3,2024-04-30 15:01:05,15.44,12383.0,Netherlands,Books
536372,EL54734,Laptop Electronics,46,2025-05-06 06:16:13,64.26,12395.0,UK,Electronics
536373,BO90766,Novel Books,18,2023-12-20 06:04:35,8.17,12369.0,UK,Books
536373,CL36550,Jacket Clothing,12,2025-02-04 21:54:18,90.56,12399.0,Italy,Clothing
536374,SP20701,Towel Sports,37,2024-04-24 02:58:42,73.67,12380.0,France,Sports
536374,CL84893,Jeans Clothing,11,2023-11-20 00:48:25,50.18,12431.0,Germany,Clothing
536375,EL23643,Headphones Electronics,4,2025-01-20 22:11:40,5.12,12408.0,Canada,Electronics
536376,SP36278,Racket Sports,25,2025-05-14 13:40:41,98.31,12389.0,Canada,Sports
536376,BO14200,Dictionary Books,25,2024-02-01 10:21:57,58.6,12402.0,Germany,Books
536376,BO48686,Cookbook Books,35,2025-01-14 12:22:41,99.41,12375.0,USA,Books
536376,SP77509,Bottle Sports,9,2023-11-20 06:03:29,52.57,12421.0,UK,Sports
536376,SP49001,Weights Sports,39,2024-12-11 03:07:20,88.16,12378.0,Canada,Sports
536377,SP32035,Bottle Sports,48,2024-09-22 10:59:52,93.47,12399.0,Australia,Sports
536377,EL38996,Headphones Electronics,40,2024-11-07 10:16:33,99.19,12374.0,USA,Electronics
536378,BO37522,Novel Books,14,2023-09-23 20:00:53,62.28,12389.0,UK,Books
536379,BO57581,Manual Books,-23,2023-09-23 16:39:55,65.04,12427.0,Australia,Books
536379,BO46985,Biography Books,46,2023-08-15 17:03:28,63.54,12369.0,UK,Books
